question_number,question,code,source,tables,text_for_embedding,curl,timestamp,answer
75,Bucket kế hoạch NICE nào có tổng plan cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.plan_nice_bucket""],""order"":{""finance_revenue_plan.total_plan_nice_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Bucket kế hoạch NICE nào có tổng plan cao nhất?,,,
76,Bucket kế hoạch MUST nào có tổng plan thấp nhất?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.plan_must_bucket""],""order"":{""finance_revenue_plan.total_plan_must_amount"":""asc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Bucket kế hoạch MUST nào có tổng plan thấp nhất?,,,
77,Bucket kế hoạch NICE nào có tổng plan thấp nhất?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.plan_nice_bucket""],""order"":{""finance_revenue_plan.total_plan_nice_amount"":""asc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Bucket kế hoạch NICE nào có tổng plan thấp nhất?,,,
78,Phân khúc khách hàng cấp 2 nào có kế hoạch doanh thu cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l2""],""order"":{""finance_revenue_plan.total_plan_target_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng cấp 2 nào có kế hoạch doanh thu cao nhất?,,,
79,Phân khúc khách hàng cấp 2 nào có kế hoạch doanh thu thấp nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l2""],""order"":{""finance_revenue_plan.total_plan_target_amount"":""asc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng cấp 2 nào có kế hoạch doanh thu thấp nhất?,,,
80,Segment nào có kế hoạch doanh thu tăng nhanh nhất theo thời gian?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Segment nào có kế hoạch doanh thu tăng nhanh nhất theo thời gian?,,,
81,Mix kế hoạch MUST theo bucket theo thời gian như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.plan_must_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}]}",biz,"[""finance_revenue_plan""]",Mix kế hoạch MUST theo bucket theo thời gian như thế nào?,,,
82,Mix kế hoạch NICE theo bucket theo thời gian như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.plan_nice_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}]}",biz,"[""finance_revenue_plan""]",Mix kế hoạch NICE theo bucket theo thời gian như thế nào?,,,
83,Phân bố tổng kế hoạch theo bucket MUST theo năm như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.plan_must_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Phân bố tổng kế hoạch theo bucket MUST theo năm như thế nào?,,,
84,Phân bố tổng kế hoạch theo bucket NICE theo năm như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.plan_nice_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Phân bố tổng kế hoạch theo bucket NICE theo năm như thế nào?,,,
85,Mix phân khúc khách hàng theo kế hoạch doanh thu từng năm như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Mix phân khúc khách hàng theo kế hoạch doanh thu từng năm như thế nào?,,,
86,Mix phân khúc khách hàng cấp 2 theo kế hoạch doanh thu từng năm như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l2""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Mix phân khúc khách hàng cấp 2 theo kế hoạch doanh thu từng năm như thế nào?,,,
,,,,,,,,
,,,,,,,,
89,So sánh cấu trúc MUST và NICE theo phân khúc khách hàng như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount"",""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",So sánh cấu trúc MUST và NICE theo phân khúc khách hàng như thế nào?,,,
90,Cấu trúc kế hoạch MUST và NICE theo phân khúc khách hàng cấp 2 như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount"",""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l2""]}",biz,"[""finance_revenue_plan""]",Cấu trúc kế hoạch MUST và NICE theo phân khúc khách hàng cấp 2 như thế nào?,,,
93,Mix kế hoạch theo bucket MUST theo quý như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.plan_must_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""quarter""}]}",biz,"[""finance_revenue_plan""]",Mix kế hoạch theo bucket MUST theo quý như thế nào?,,,
94,Mix kế hoạch theo bucket NICE theo quý như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.plan_nice_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""quarter""}]}",biz,"[""finance_revenue_plan""]",Mix kế hoạch theo bucket NICE theo quý như thế nào?,,,
95,Cấu trúc tổng kế hoạch theo bucket MUST theo năm như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.plan_must_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Cấu trúc tổng kế hoạch theo bucket MUST theo năm như thế nào?,,,
96,Cấu trúc tổng kế hoạch theo bucket NICE theo năm như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.plan_nice_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Cấu trúc tổng kế hoạch theo bucket NICE theo năm như thế nào?,,,
97,Mix kế hoạch theo phân khúc khách hàng theo quý như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""quarter""}]}",biz,"[""finance_revenue_plan""]",Mix kế hoạch theo phân khúc khách hàng theo quý như thế nào?,,,
98,Mix kế hoạch theo phân khúc khách hàng theo tháng như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}]}",biz,"[""finance_revenue_plan""]",Mix kế hoạch theo phân khúc khách hàng theo tháng như thế nào?,,,
99,Phân bố tổng kế hoạch theo segment alias theo năm như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_alias""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Phân bố tổng kế hoạch theo segment alias theo năm như thế nào?,,,
100,Mix kế hoạch MUST và NICE theo thời gian như thế nào?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount"",""finance_revenue_plan.total_plan_nice_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}]}",biz,"[""finance_revenue_plan""]",Mix kế hoạch MUST và NICE theo thời gian như thế nào?,,,
1,Tổng chi phí sản xuất là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất là bao nhiêu?,,,
2,Tổng chi phí sản xuất theo tháng như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất theo tháng như thế nào?,,,
3,Tổng chi phí sản xuất theo quý như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""quarter""}]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất theo quý như thế nào?,,,
4,Tổng chi phí sản xuất theo năm như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất theo năm như thế nào?,,,
5,Chi phí sản xuất trung bình là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình là bao nhiêu?,,,
6,Chi phí sản xuất lớn nhất là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.max_production_cost_value""]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất lớn nhất là bao nhiêu?,,,
7,Chi phí sản xuất nhỏ nhất là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.min_production_cost_value""]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất nhỏ nhất là bao nhiêu?,,,
8,Có bao nhiêu bản ghi chi phí sản xuất?,"{""measures"":[""finance_production_cost_allocations.number_of_production_cost_record_count""]}",biz,"[""finance_production_cost_allocations""]",Có bao nhiêu bản ghi chi phí sản xuất?,,,
9,Tổng chi phí hạ tầng sản xuất là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_infra_production_cost_value""]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí hạ tầng sản xuất là bao nhiêu?,,,
10,Chi phí hạ tầng sản xuất theo tháng như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_infra_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí hạ tầng sản xuất theo tháng như thế nào?,,,
11,Tổng chi phí sản xuất trong năm 2024 là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""dateRange"":[""2024-01-01"",""2024-12-31""]}]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất trong năm 2024 là bao nhiêu?,,,
12,Tổng chi phí sản xuất quý 1 năm 2024 là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""dateRange"":[""2024-01-01"",""2024-03-31""]}]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất quý 1 năm 2024 là bao nhiêu?,,,
13,Chi phí sản xuất tháng 1 năm 2024 là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""dateRange"":[""2024-01-01"",""2024-01-31""]}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất tháng 1 năm 2024 là bao nhiêu?,,,
14,So sánh chi phí sản xuất theo tháng trong năm 2024,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month"",""dateRange"":[""2024-01-01"",""2024-12-31""]}]}",biz,"[""finance_production_cost_allocations""]",So sánh chi phí sản xuất theo tháng trong năm 2024,,,
15,Chi phí sản xuất theo quý trong năm 2024,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""quarter"",""dateRange"":[""2024-01-01"",""2024-12-31""]}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất theo quý trong năm 2024,,,
16,Xu hướng chi phí sản xuất theo năm như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Xu hướng chi phí sản xuất theo năm như thế nào?,,,
17,Tổng chi phí hạ tầng trong năm 2024 là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_infra_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""dateRange"":[""2024-01-01"",""2024-12-31""]}]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí hạ tầng trong năm 2024 là bao nhiêu?,,,
18,So sánh chi phí hạ tầng theo tháng,"{""measures"":[""finance_production_cost_allocations.total_infra_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",So sánh chi phí hạ tầng theo tháng,,,
19,Tổng chi phí sản xuất 6 tháng đầu năm 2024 là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""dateRange"":[""2024-01-01"",""2024-06-30""]}]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất 6 tháng đầu năm 2024 là bao nhiêu?,,,
20,Tổng chi phí sản xuất 6 tháng cuối năm 2024 là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""dateRange"":[""2024-07-01"",""2024-12-31""]}]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất 6 tháng cuối năm 2024 là bao nhiêu?,,,
23,Tổng chi phí sản xuất theo danh mục sản phẩm là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất theo danh mục sản phẩm là bao nhiêu?,,,
